#start	end	weight
1017	51433	-1
1017	1869	-1
1017	5925	-1
3674	9564	1
3674	1399	1
3674	1398	1
3674	10672	1
3674	6714	1
3674	5747	1
3675	9564	1
3675	1399	1
3675	1398	1
3675	6714	1
3675	5747	1
3676	9564	1
3676	1399	1
3676	1398	1
3676	7412	1
3676	6714	1
3676	5747	1
3678	9564	1
3678	1399	1
3678	1398	1
3678	6714	1
3678	5747	1
3679	9564	1
3679	1399	1
3679	1398	1
3679	6714	1
3679	5747	1
3690	9564	1
3690	4893	1
3690	3265	1
3690	1399	1
3690	1398	1
3690	5335	1
3690	5336	1
3690	10672	1
3690	5330	1
3690	5331	1
3690	5332	1
3690	113026	1
3690	5333	1
3690	23236	1
3690	84812	1
3690	51196	1
3690	89869	1
3690	6714	1
3690	5747	1
3690	3845	1
3691	9564	1
3691	1399	1
3691	1398	1
3691	6714	1
3691	5747	1
3693	9564	1
3693	1399	1
3693	1398	1
3693	6714	1
3693	5747	1
3694	9564	1
3694	1399	1
3694	1398	1
3694	6714	1
3694	5747	1
3695	9564	1
3695	1399	1
3695	1398	1
3695	6714	1
3695	5747	1
1032	1019	-1
1032	595	-1
1032	894	-1
1032	896	-1
1032	1021	-1
1031	1019	-1
1031	595	-1
1031	894	-1
1031	896	-1
1031	1021	-1
1030	1019	-1
1030	595	-1
1030	894	-1
1030	896	-1
1030	1021	-1
1029	1019	-1
1029	595	-1
1029	894	-1
1029	896	-1
1029	1021	-1
1029	4193	-1
1028	1017	-1
1028	8900	-1
1028	890	-1
1027	1019	-1
1027	595	-1
1027	1017	-1
1027	894	-1
1027	9134	-1
1027	896	-1
1027	898	-1
1027	1021	-1
1027	8900	-1
1027	890	-1
1026	1019	-1
1026	595	-1
1026	1017	-1
1026	894	-1
1026	9134	-1
1026	896	-1
1026	898	-1
1026	1021	-1
1026	8900	-1
1026	890	-1
2357	2778	1
2357	2776	1
2355	1513	1
2355	3690	1
2355	3456	1
2355	4772	1
2355	799	1
2355	54	1
2354	1513	1
2354	3569	1
2354	3690	1
2354	3456	1
2354	4772	1
2354	799	1
2354	54	1
3685	9564	1
3685	5330	1
3685	5331	1
3685	5332	1
3685	113026	1
3685	5333	1
3685	4893	1
3685	3265	1
3685	23236	1
3685	84812	1
3685	51196	1
3685	1399	1
3685	89869	1
3685	1398	1
3685	5335	1
3685	5336	1
3685	6714	1
3685	5747	1
3685	3845	1
3687	9564	1
3687	1399	1
3687	1398	1
3687	6714	1
3687	5747	1
3688	9564	1
3688	5295	1
3688	5296	1
3688	7412	1
3688	5290	1
3688	5291	1
3688	5293	1
3688	1399	1
3688	1398	1
3688	8503	1
3688	6714	1
3688	5747	1
3689	9564	1
3689	7410	1
3689	3385	1
3689	2185	1
3689	3384	1
3689	3383	1
3689	1399	1
3689	1398	1
3689	10451	1
3689	6714	1
3689	5747	1
3689	10666	1
3689	7409	1
3696	9564	1
3696	1399	1
3696	1398	1
3696	6714	1
3696	5747	1
59082	834	-1
255738	3949	-1
25759	2885	1
25759	6654	1
25759	6655	1
25759	6714	1
1075	330	-1
1075	331	-1
1075	596	-1
1075	332	-1
1075	598	-1
1075	329	-1
1075	637	1
255743	8516	1
255743	3688	1
85366	10627	1
85366	58498	1
85366	29895	1
85366	140465	1
85366	93408	1
85366	10398	1
85366	4633	1
85366	4634	1
85366	4635	1
85366	103910	1
85366	4636	1
85366	4637	1
1081	7253	1
1081	4881	1
1081	7434	1
1081	3362	1
1081	2492	1
1081	3360	1
1081	153	1
1081	135	1
1081	2696	1
1081	2740	1
1081	117	1
1081	4158	1
1081	5732	1
1081	3973	1
1081	1816	1
1081	139760	1
1081	1812	1
440275	1965	1
440275	4780	1
56832	9466	1
56832	4352	1
56832	149233	1
56832	3563	1
56832	3561	1
56832	9180	1
56832	3560	1
56832	2690	1
56832	3460	1
56832	3581	1
56832	5618	1
56832	3559	1
56832	3459	1
56832	116379	1
56832	3455	1
56832	3598	1
56832	3454	1
56832	3575	1
56832	3597	1
56832	5159	1
56832	3953	1
56832	1439	1
56832	1956	1
56832	3977	1
56832	50615	1
56832	1438	1
56832	163702	1
56832	5156	1
56832	3595	1
56832	3572	1
56832	3594	1
56832	1271	1
56832	3570	1
56832	64109	1
56832	3590	1
56832	3568	1
56832	3601	1
56832	3566	1
56832	3588	1
56832	3587	1
56832	58985	1
56832	1441	1
56832	2057	1
56832	53833	1
56832	53832	1
403282	2788	1
403282	2774	1
403282	2782	1
403282	51764	1
403284	2788	1
403284	2774	1
403284	2782	1
403284	51764	1
255725	2788	1
255725	2774	1
255725	2782	1
255725	51764	1
56848	4893	1
56848	3265	1
56848	3845	1
9821	89849	1
9821	55054	1
55534	2625	1
55534	11317	1
55534	3516	1
55534	3565	1
55534	30009	1
9825	1540	1
207	9586	1
207	5140	1
207	6199	1
207	6198	1
207	7248	-1
207	1385	1
207	3164	-1
207	111	1
207	596	1
207	112	1
207	113	1
207	114	1
207	115	1
207	4842	1
207	4843	1
207	2309	-1
207	4846	1
207	2308	-1
207	90673	1
207	5594	1
207	5595	1
207	90993	1
207	64764	1
207	5509	1
207	1027	-1
207	1147	1
207	1026	-1
207	1388	1
207	53632	1
207	51256	-1
207	842	-1
207	2475	1
207	107080638	-1
207	1386	1
207	148327	1
207	89801	1
207	5500	1
207	7249	-1
207	5501	1
207	4217	-1
207	6517	1
207	5506	1
207	6518	1
207	5507	1
207	196883	1
207	4790	1
207	9882	1
207	4792	1
207	5562	1
207	4793	1
207	5563	1
207	4794	1
207	5564	1
207	5565	1
207	4193	1
207	572	-1
207	57521	1
207	51422	1
207	4303	-1
207	5571	1
207	5970	1
207	5894	-1
207	5499	1
207	3551	1
207	100132074	-1
207	79660	1
207	2932	-1
207	1326	1
207	2931	-1
207	468	1
207	84699	1
207	107	1
207	8517	1
207	108	1
207	6416	-1
207	109	1
207	10488	1
207	5208	1
9826	387	1
208	9586	1
208	5140	1
208	6199	1
208	6198	1
208	7248	-1
208	1385	1
208	3164	-1
208	111	1
208	596	1
208	112	1
208	113	1
208	114	1
208	115	1
208	4842	1
208	4843	1
208	2309	-1
208	4846	1
208	2308	-1
208	90673	1
208	5594	1
208	5595	1
208	90993	1
208	64764	1
208	5509	1
208	1027	-1
208	1147	1
208	1026	-1
208	1388	1
208	53632	1
208	51256	-1
208	842	-1
208	2475	1
208	107080638	-1
208	1386	1
208	148327	1
208	89801	1
208	5500	1
208	7249	-1
208	5501	1
208	4217	-1
208	6517	1
208	5506	1
208	6518	1
208	5507	1
208	196883	1
208	4790	1
208	9882	1
208	4792	1
208	5562	1
208	4793	1
208	5563	1
208	4794	1
208	5564	1
208	5565	1
208	4193	1
208	572	-1
208	57521	1
208	51422	1
208	4303	-1
208	5571	1
208	5970	1
208	5894	-1
208	5499	1
208	3551	1
208	100132074	-1
208	79660	1
208	2932	-1
208	1326	1
208	2931	-1
208	468	1
208	84699	1
208	107	1
208	8517	1
208	108	1
208	6416	-1
208	109	1
208	10488	1
208	5208	1
54205	842	1
54205	317	1
196883	5566	1
196883	5567	1
196883	5568	1
196883	11069	1
196883	10411	1
9844	5880	1
9844	5881	1
9844	5879	1
114131	1395	1
114131	1394	1
8503	5580	1
8503	5584	1
8503	4893	1
8503	273	1
8503	274	1
8503	57580	1
8503	476	1
8503	477	1
8503	478	1
8503	5335	1
8503	5336	1
8503	2309	-1
8503	2308	-1
8503	3091	1
8503	480	1
8503	481	1
8503	482	1
8503	7294	1
8503	5590	1
8503	483	1
8503	486	1
8503	1785	1
8503	2475	1
8503	207	1
8503	208	1
8503	5747	1
8503	6714	1
8503	3845	1
8503	5163	1
8503	5880	1
8503	7067	1
8503	5881	1
8503	3265	1
8503	3937	1
8503	695	1
8503	10231	1
8503	5879	1
8503	23439	1
8503	5894	1
8503	5170	1
8503	10000	1
8503	3702	1
9855	998	1
8521	5741	1
79501	2788	1
79501	2774	1
79501	2782	1
79501	51764	1
8516	9564	1
8516	1399	1
8516	1398	1
8516	6714	1
8516	5747	1
8517	4790	1
8517	8660	-1
8517	4791	1
8517	4792	1
8517	4793	1
8517	5970	1
8517	4794	1
8517	3661	1
8517	5971	1
8517	8471	-1
8517	3665	1
8517	3667	-1
9846	5295	1
9846	5296	1
9846	6654	1
9846	6655	1
9846	8503	1
9846	5290	1
9846	5291	1
9846	5293	1
8515	9564	1
8515	1399	1
8515	1398	1
8515	6714	1
8515	5747	1
55558	5880	1
55558	5881	1
55558	5879	1
8531	595	1
8531	861	-1
8531	5111	1
8531	2064	-1
7200	7201	1
7201	9630	1
7201	2767	1
7201	2776	1
7201	2769	1
9863	5728	1
9863	51735	1
9863	9693	1
23049	5976	1
127385	2788	1
127385	2774	1
127385	2782	1
127385	51764	1
11069	22800	1
11069	6262	1
11069	6300	1
11069	9699	1
11069	27445	1
11069	5906	1
11069	5908	1
11069	1432	1
11069	5599	1
11069	83593	1
11069	6237	1
11069	5600	1
11069	5601	1
11069	5602	1
11069	6833	-1
11069	5603	1
7205	8767	1
8536	9586	1
8536	90993	1
8536	64764	1
8536	1385	1
8536	466	1
8536	1388	1
8536	468	1
8536	1386	1
8536	148327	1
8536	84699	1
8536	10488	1
8536	4846	1
7220	659	1
8550	3315	1
7222	659	1
8556	25847	1
8556	51529	1
8556	64682	1
8556	8881	1
